,DF,,RS,SC,RJ,AL,MG,PB,PE,RN,MA,TO,PI,CE,SE,BA,ES,GO,MT,PR,SP,MS,AP,PA,RR,RO,AM,AC
2020-03-28,260,,193,176,558,14,200,14,63,45,14,9,11,322,16,127,53,56,13,133,41,31,4,17,12,6,111,25
2020-03-29,29,,33,10,42,3,26,0,5,22,2,0,3,37,0,28,7,2,3,15,4,5,0,1,4,0,29,9
2020-03-30,23,,15,3,57,-4,30,1,5,8,7,1,2,23,0,20,11,3,2,8,5,8,4,3,0,0,11,8
2020-03-31,20,,33,34,51,1,13,2,-46,5,8,1,2,19,3,40,13,5,7,24,81,4,2,11,0,2,24,0
2020-04-01,23,,32,4,124,4,42,3,63,11,23,1,0,44,1,30,12,8,2,45,36,3,1,9,6,1,25,1
2020-04-02,15,,28,12,152,-4,55,1,11,12,18,0,1,105,3,21,25,0,9,28,42,2,0,5,4,1,29,0
2020-04-03,32,,62,34,90,5,30,8,30,69,10,0,2,96,2,21,19,15,8,48,34,7,8,4,4,0,31,3
2020-04-04,52,,14,52,171,0,26,3,39,38,6,2,1,85,2,47,14,14,12,94,31,2,9,30,7,1,51,0
2020-04-05,14,,8,23,148,4,65,2,25,26,8,3,1,77,5,60,13,12,4,44,20,3,1,6,5,1,106,2
2020-04-06,5,,63,23,67,3,23,1,22,7,37,0,0,209,0,30,28,6,16,20,24,1,5,17,0,2,115,2
2020-04-07,19,,27,37,228,0,34,1,128,8,39,2,5,163,4,31,15,14,2,45,113,14,14,37,0,4,105,0
2020-04-08,17,,47,40,250,5,50,5,49,-1,58,4,3,182,0,52,18,22,12,35,81,5,59,29,7,8,169,4
2020-04-09,18,,63,43,278,0,36,14,154,0,43,0,7,77,3,53,46,20,18,70,75,4,21,0,3,2,95,8
2020-04-10,28,,18,192,248,7,44,24,128,6,21,0,2,101,3,48,27,13,4,34,85,8,38,2,11,4,82,8
2020-04-11,24,,4,39,143,3,48,7,132,28,51,0,1,110,0,24,49,17,9,33,22,3,27,47,12,1,70,2
2020-04-12,35,,13,0,248,0,60,15,144,15,54,2,3,79,2,34,34,23,2,62,43,1,37,29,4,2,156,5
